#10000,100,,,,,,,,,,,,,,,,,,,
Index,AccelX_H,AccelX_L,AccelY_H,AccelY_L,AccelZ_H,AccelZ_L,GyroX_H,GyroX_L,GyroY_H,GyroY_L,GyroZ_H,GyroZ_L,MagX_H,MagX_L,MagY_H,MagY_L,MagZ_H,MagZ_L,Temp_H,Temp_L
217,F8,30,FF,D7,5,65,0,3D,FD,F3,0,C7,0,0,0,0,0,0,D,A0
218,F8,5D,FF,89,5,61,0,85,FC,DC,0,D1,0,0,0,0,0,0,D,A0
219,F8,99,FF,83,5,63,0,DD,FC,8,0,C2,0,0,0,0,0,0,D,C0
220,F8,B8,FF,A2,5,77,0,A4,FB,19,0,97,0,0,0,0,0,0,D,90
221,F8,85,FF,6E,5,9C,0,7B,FA,60,0,78,0,0,0,0,0,0,D,C0
222,F9,49,FF,F6,5,5B,0,64,F9,C2,0,41,0,0,0,0,0,0,D,C0
223,F9,BF,0,4C,4,EF,0,3A,FA,E,0,4A,0,0,0,0,0,0,D,90
224,F9,FF,0,66,5,67,FF,4D,FA,7F,FF,FB,0,0,0,0,0,0,D,A0
225,F9,8E,0,D3,6,57,FF,4C,F9,EE,0,40,0,0,0,0,0,0,D,50
226,F9,A7,0,BE,6,C4,0,E7,F9,7,1,9D,0,0,0,0,0,0,D,E0
227,FA,0,0,4E,6,B4,1,9D,F8,9A,2,58,0,0,0,0,0,0,D,C0
228,FA,2B,FF,E6,6,AD,1,E5,F7,AE,2,C2,0,0,0,0,0,0,D,C0
229,FA,6B,FF,1E,6,1E,0,E9,F6,E5,2,13,0,0,0,0,0,0,D,D0
230,FA,D5,FF,BC,6,56,0,5C,F6,CD,1,87,0,0,0,0,0,0,D,A0
231,FB,17,FF,DA,6,AA,FF,FC,F6,D6,1,1F,0,0,0,0,0,0,D,A0
232,FB,6B,FF,FA,7,2,0,4C,F6,8F,0,D3,0,0,0,0,0,0,D,70
233,FB,C6,0,2F,7,18,0,76,F6,57,0,CB,0,0,0,0,0,0,D,50
234,FC,3C,0,53,6,F8,0,D8,F6,37,0,C6,0,0,0,0,0,0,D,C0
235,FC,B8,0,C4,6,B3,1,BD,F6,70,1,50,0,0,0,0,0,0,D,D0
236,FD,5C,0,AC,6,57,2,5A,F7,64,1,E9,0,0,0,0,0,0,D,A0
237,FD,F5,0,1B,6,B2,1,88,F8,2A,1,54,0,0,0,0,0,0,D,D0
238,FE,65,0,23,7,5,0,6,F8,68,0,E,0,0,0,0,0,0,D,50
239,FE,90,0,4E,7,42,FF,46,F8,C8,FF,70,0,0,0,0,0,0,D,E0
240,FE,89,0,55,7,7C,FF,21,F8,F4,FF,4A,0,0,0,0,0,0,D,C0
241,FE,D4,0,9,7,85,FF,AF,F8,E2,FF,4D,0,0,0,0,0,0,D,D0
242,FE,BE,0,19,7,53,0,E,F8,FF,FF,29,0,0,0,0,0,0,D,A0
243,FF,58,0,23,7,4D,0,3A,F9,36,FE,E5,0,0,0,0,0,0,D,C0
244,FF,E1,0,92,7,43,FF,ED,F9,61,FE,D0,0,0,0,0,0,0,D,A0
245,0,19,1,A,7,21,1,23,F9,D5,FF,9D,0,0,0,0,0,0,D,E0
246,0,32,0,F0,7,46,1,FA,FA,8E,0,3F,0,0,0,0,0,0,D,50
247,0,5A,0,99,7,B6,1,85,FA,CE,FF,FA,0,0,0,0,0,0,E,0
248,0,9C,0,D0,8,72,0,DF,F9,EE,FF,98,0,0,0,0,0,0,D,90
249,0,C5,1,46,8,37,1,16,F8,C8,FF,D0,0,0,0,0,0,0,D,D0
250,1,4E,1,88,7,7A,1,E,F8,E5,0,29,0,0,0,0,0,0,D,70
251,1,89,1,69,7,3E,1,AE,F9,A9,0,B0,0,0,0,0,0,0,D,70
252,1,B2,1,36,7,57,2,D,FA,1C,0,F7,0,0,0,0,0,0,D,A0
253,2,26,1,38,7,36,1,BE,FA,87,0,D6,0,0,0,0,0,0,D,A0
254,2,43,1,2,7,2E,1,56,FB,14,0,83,0,0,0,0,0,0,E,10
255,2,C,1,22,7,D7,1,17,FB,36,0,6B,0,0,0,0,0,0,D,E0
256,2,1F,1,43,8,14,1,B3,FA,E5,0,C1,0,0,0,0,0,0,D,D0
257,2,72,1,2C,7,AA,2,AF,FA,8A,1,5C,0,0,0,0,0,0,D,A0
258,2,CE,0,FA,7,1B,2,5F,FA,E1,1,16,0,0,0,0,0,0,D,60
259,3,E,0,E5,6,F4,1,5,FB,6D,0,25,0,0,0,0,0,0,D,70
260,3,41,1,2F,6,E0,0,F1,FB,CA,FF,E6,0,0,0,0,0,0,D,C0
261,3,43,1,80,7,2D,1,B8,FC,4,0,55,0,0,0,0,0,0,D,A0
262,3,79,1,A8,6,FE,2,4D,FC,26,0,BB,0,0,0,0,0,0,D,A0
263,3,B4,1,A6,6,B6,2,5,FC,92,0,A1,0,0,0,0,0,0,D,70
264,3,FC,1,91,6,58,1,20,FD,22,0,1F,0,0,0,0,0,0,D,60
